generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2025,23.1259149324718,0.0,0.0,10.0,2468170.7323501906,204018.4392641725,115.54955466268969,0.2639944626994498,,
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2030,30.31745259282282,0.0,0.0,13.890792484731097,2879100.116426703,243669.255430486,103.00236678184677,0.2491503935797799,,
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2035,29.440912746802013,0.0,0.0,13.890792484731097,2879100.116426703,243669.255430486,106.06904068204867,0.24194694378610743,,
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2040,29.471025886959872,0.0,0.0,13.890792484731097,2879100.116426703,243669.255430486,105.96066061069588,0.24219441512952863,,
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2045,28.277013169066798,0.0,0.0,13.890792484731097,2879100.116426703,243669.255430486,110.43490884932972,0.2323819568535075,,
Oahu_CentralTrackingPV_PV_02,Oahu_CentralTrackingPV_PV_02,CentralTrackingPV,Oahu,SUN,2050,6.868362834397126,0.0,0.0,3.8907924847310973,410929.3840765126,39650.816166313496,65.60227103703612,0.20151670575309485,,
Oahu_CentralTrackingPV_PV_03,Oahu_CentralTrackingPV_PV_03,CentralTrackingPV,Oahu,SUN,2020,2.3023824818257226,0.0,0.0,1.0,439648.44106588844,24311.4263136,201.51294193811867,0.2628290504367262,,
Oahu_CentralTrackingPV_PV_03,Oahu_CentralTrackingPV_PV_03,CentralTrackingPV,Oahu,SUN,2023,2.302382481825728,0.0,0.0,1.0,439648.44106588844,24311.4263136,201.51294193811813,0.26282905043672694,,
Oahu_CentralTrackingPV_PV_03,Oahu_CentralTrackingPV_PV_03,CentralTrackingPV,Oahu,SUN,2025,2.302382481825722,0.0,0.0,1.0,439648.44106588844,24311.4263136,201.51294193811864,0.2628290504367263,,
Oahu_CentralTrackingPV_PV_03,Oahu_CentralTrackingPV_PV_03,CentralTrackingPV,Oahu,SUN,2030,2.1382443354983494,0.0,0.0,1.0,439648.44106588844,24311.4263136,216.98168898520925,0.24409181912081612,,
Oahu_CentralTrackingPV_PV_03,Oahu_CentralTrackingPV_PV_03,CentralTrackingPV,Oahu,SUN,2035,2.10344227734154,0.0,0.0,1.0,439648.44106588844,24311.4263136,220.57171350852053,0.2401189814316827,,
Oahu_CentralTrackingPV_PV_03,Oahu_CentralTrackingPV_PV_03,CentralTrackingPV,Oahu,SUN,2040,2.10344227734154,0.0,0.0,1.0,439648.44106588844,24311.4263136,220.57171350852053,0.2401189814316827,,
Oahu_CentralTrackingPV_PV_03,Oahu_CentralTrackingPV_PV_03,CentralTrackingPV,Oahu,SUN,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oahu_CentralTrackingPV_PV_03,Oahu_CentralTrackingPV_PV_03,CentralTrackingPV,Oahu,SUN,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Oahu_CentralTrackingPV_PV_04,Oahu_CentralTrackingPV_PV_04,CentralTrackingPV,Oahu,SUN,2020,24.610054750503444,0.0,0.0,10.0,4015581.422473493,243114.26313600002,173.04698135717774,0.2809366980651077,,
Oahu_CentralTrackingPV_PV_04,Oahu_CentralTrackingPV_PV_04,CentralTrackingPV,Oahu,SUN,2023,605.4926599674473,0.0,0.0,246.034665955004,39329685.990179606,3689660.3069397407,71.04850172656452,0.2809366980651078,,
Oahu_CentralTrackingPV_PV_04,Oahu_CentralTrackingPV_PV_04,CentralTrackingPV,Oahu,SUN,2025,605.4926599674471,0.0,0.0,246.034665955004,39329685.990179606,3689660.3069397407,71.04850172656454,0.28093669806510774,,
Oahu_CentralTrackingPV_PV_04,Oahu_CentralTrackingPV_PV_04,CentralTrackingPV,Oahu,SUN,2030,587.697351164341,0.0,0.0,246.034665955004,39329685.990179606,3689660.3069397407,73.19983017090306,0.2726800244062357,,
Oahu_CentralTrackingPV_PV_04,Oahu_CentralTrackingPV_PV_04,CentralTrackingPV,Oahu,SUN,2035,571.2793483029634,0.0,0.0,246.034665955004,39329685.990179606,3689660.3069397407,75.30352081676357,0.26506239364429235,,
Oahu_CentralTrackingPV_PV_04,Oahu_CentralTrackingPV_PV_04,CentralTrackingPV,Oahu,SUN,2040,578.8159443726457,0.0,0.0,246.034665955004,39329685.990179606,3689660.3069397407,74.32301531317731,0.26855922614855565,,
