gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Kahe_3,multiple,2020,364.308392144449,3814175.904446341,291400.7228887654,86.1,3021170.2733307215,918770.8757020278,21.284486497375465,0.48301644597241294,0.0,0.0
Kahe_3,multiple,2023,703.9895711169154,7370513.875153854,539195.1316836465,86.1,3021170.2733307215,918770.8757020278,16.06622525137977,0.933381025457437,0.0,0.0
Kahe_3,multiple,2025,673.3822915462356,7050066.828760119,516712.6628715642,86.1,3021170.2733307215,918770.8757020278,16.320607351519982,0.8928005180689276,0.0,0.0
Kahe_3,multiple,2030,109.00481786062359,1141240.6596104477,88203.91455809251,86.1,3021170.2733307215,918770.8757020278,46.61428649089737,0.14452348848453744,0.0,0.0
Kahe_3,multiple,2035,109.20030871207393,1143287.3774770128,91426.22610192397,86.1,3021170.2733307215,918770.8757020278,46.54958018399561,0.14478267904485326,0.0,0.0
Kahe_4,multiple,2020,355.93081202831854,3726465.698188331,296839.5507551085,85.3,2999873.5481505175,910234.0963691403,21.455218499320054,0.4763349500130059,0.0,0.0
Kahe_4,multiple,2023,595.7348445624193,6237126.397758411,467876.306887688,85.3,2999873.5481505175,910234.0963691403,17.033138375062546,0.7972597982977343,0.0,0.0
Kahe_4,multiple,2025,281.60583185790415,2948310.2821252206,221334.3088993236,85.3,2999873.5481505175,910234.0963691403,24.354672917802258,0.3768673441812997,0.0,0.0
Kahe_4,multiple,2030,13.139862019488653,137569.5597004295,10311.620498443468,85.3,2999873.5481505175,910234.0963691403,308.04563991742765,0.017584809481829715,0.0,0.0
Kahe_4,multiple,2035,40.12637454482049,420108.4965974627,33184.72830897574,85.3,2999873.5481505175,910234.0963691403,107.91446250097522,0.053700309068745414,0.0,0.0
Kahe_5,multiple,2020,569.7375161318068,5964943.857311463,458186.5535754901,134.3,4703011.815737114,1433111.830508506,21.239723839350507,0.4842779541235347,0.0,0.0
Kahe_5,multiple,2023,1141.675056045411,11952921.160677643,872675.8885281577,134.3,4703011.815737114,1433111.830508506,15.844302379331083,0.9704259325756511,0.0,0.0
Kahe_5,multiple,2025,1097.859545412305,11494188.755656507,840804.1240609144,134.3,4703011.815737114,1433111.830508506,16.05880504074954,0.9331826666023255,0.0,0.0
Kahe_5,multiple,2030,125.44901124009112,1313405.3626710135,100513.83189541579,134.3,4703011.815737114,1433111.830508506,59.38292327118719,0.10663189414424457,0.0,0.0
Kahe_5,multiple,2035,62.40814728107793,653390.5249875339,59945.41657235646,134.3,4703011.815737114,1433111.830508506,108.79211236081227,0.0530470418924084,0.0,0.0
Kahe_5,multiple,2040,178.54051201511052,1869253.9990282056,157758.75097602318,134.3,4703011.815737114,1433111.830508506,44.83787771705448,0.15175976908433592,0.0,0.0
Kahe_6,multiple,2020,504.41258398938237,5281015.659361975,422806.3827179705,134.4,4745297.466361478,1434178.9279251168,22.720472124243848,0.42843262800794174,0.0,0.0
Kahe_6,multiple,2023,49.72637497324017,520616.9973794994,40396.61159173028,134.4,4745297.466361478,1434178.9279251168,134.73922833248332,0.042236062674324726,0.0,0.0
Kahe_6,multiple,2025,0.0,0.0,0.0,134.4,4745297.466361478,1434178.9279251168,0.0,0.0,0.0,0.0
Kahe_6,multiple,2030,0.0,0.0,0.0,134.4,4745297.466361478,1434178.9279251168,0.0,0.0,0.0,0.0
Kahe_6,multiple,2035,3.7220802423439836,38968.82169306496,4482.887767404852,134.4,4745297.466361478,1434178.9279251168,1670.6907995254787,0.003161421166918066,0.0,0.0
Kahe_6,multiple,2040,22.672374140302647,237371.4825329816,17968.589110990513,134.4,4745297.466361478,1434178.9279251168,283.02496408670845,0.019257221458046796,0.0,0.0
Kalaeloa_CC1,multiple,2020,767.9235775032951,618452.2760063456,457295.903625491,90.0,3821748.106789834,4131479.0545012797,11.162151662494932,0.974027876082312,0.0,0.0
Kalaeloa_CC1,multiple,2023,788.3999999999999,634943.0967970388,533291.2763645998,90.0,3821748.106789834,4131479.0545012797,10.893163696205162,0.9999999999999999,0.0,0.0
Kalaeloa_CC1,multiple,2025,788.3999999999999,634943.0967970387,533291.2763645998,90.0,3821748.106789834,4131479.0545012797,10.89316369620516,0.9999999999999999,0.0,0.0
Kalaeloa_CC1,multiple,2030,700.075489180275,563810.3742920163,482669.541423342,90.0,3821748.106789834,4131479.0545012797,12.16588448990809,0.8879699253935502,0.0,0.0
Kalaeloa_CC1,multiple,2035,688.4003980768987,554407.7633070272,477071.57275746943,90.0,3821748.106789834,4131479.0545012797,12.358556079230768,0.8731613369823676,0.0,0.0
Kalaeloa_CC1,multiple,2040,691.9079144904317,557232.5645927642,481684.96969120344,90.0,3821748.106789834,4131479.0545012797,12.29998898357964,0.8776102416164786,0.0,0.0
Kalaeloa_CC1,multiple,2045,91.81733149931216,73945.68848530384,0.0,90.0,3821748.106789834,4131479.0545012797,87.4254644379046,0.11646033929390179,0.0,0.0
Kalaeloa_CC1,multiple,2050,27.92475928473177,22489.387541298132,0.0,90.0,3821748.106789834,4131479.0545012797,285.61451389818194,0.03541953232462173,0.0,0.0
Kalaeloa_CC2,multiple,2020,352.086932599725,283555.51411293715,168969.01417267384,90.0,3832091.1622432587,4131479.0545012797,23.423549604532855,0.4465841357175607,0.0,0.0
Kalaeloa_CC2,multiple,2023,788.3999999999999,634943.0967970388,533291.2763645998,90.0,3832091.1622432587,4131479.0545012797,10.906282741681347,0.9999999999999999,0.0,0.0
Kalaeloa_CC2,multiple,2025,788.3999999999999,634943.0967970387,533291.2763645998,90.0,3832091.1622432587,4131479.0545012797,10.906282741681347,0.9999999999999999,0.0,0.0
Kalaeloa_CC2,multiple,2030,501.1696011004124,403620.21631561697,353274.11655520287,90.0,3832091.1622432587,4131479.0545012797,16.695327120177293,0.6356793519792141,0.0,0.0
Kalaeloa_CC2,multiple,2035,392.99504814305357,316501.132539132,273108.0740225357,90.0,3832091.1622432587,4131479.0545012797,21.069149314750785,0.4984716490906311,0.0,0.0
Kalaeloa_CC2,multiple,2040,359.52208803301227,289543.4651732856,253795.80859569882,90.0,3832091.1622432587,4131479.0545012797,22.95579035789311,0.45601482500382073,0.0,0.0
Kalaeloa_CC2,multiple,2045,61.9044016506189,49855.11477601683,0.0,90.0,3832091.1622432587,4131479.0545012797,129.44839329434723,0.07851902796882154,0.0,0.0
Kalaeloa_CC2,multiple,2050,40.75749656121045,32824.31644377171,0.0,90.0,3832091.1622432587,4131479.0545012797,196.1944478405134,0.05169646950939935,0.0,0.0
Kalaeloa_CC3,multiple,2020,54.3665474793209,43784.45461527556,37075.728416361,28.0,1192206.1393645694,1285349.0391781759,46.3766737094543,0.22165096004289334,0.0,0.0
Kalaeloa_CC3,multiple,2023,245.27999999999997,197537.8523368565,167254.8825312,28.0,1192206.1393645694,1285349.0391781759,10.906282741681348,0.9999999999999999,0.0,0.0
Kalaeloa_CC3,multiple,2025,245.27999999999994,197537.85233685642,167254.8825312,28.0,1192206.1393645694,1285349.0391781759,10.90628274168135,0.9999999999999998,0.0,0.0
Kalaeloa_CC3,multiple,2030,108.19723491903733,87137.35084268171,73780.66998486052,28.0,1192206.1393645694,1285349.0391781759,23.703863886212567,0.4411172330358664,0.0,0.0
Kalaeloa_CC3,multiple,2035,87.027268336687,70087.97978625435,59343.76901806298,28.0,1192206.1393645694,1285349.0391781759,29.274079343416787,0.35480784546920663,0.0,0.0
Kalaeloa_CC3,multiple,2040,83.13151523161514,66950.50954159298,56690.709719195205,28.0,1192206.1393645694,1285349.0391781759,30.60819571248059,0.3389249642515294,0.0,0.0
