FUEL_BASED_GEN_TPS_1,FUEL_BASED_GEN_TPS_2,DispatchGenRenewableMW
Oahu_Airport_DSG,2007102710,0.0
Oahu_Airport_DSG,2007102712,0.0
Oahu_Airport_DSG,2007102714,0.0
Oahu_Airport_DSG,2007102716,0.0
Oahu_Airport_DSG,2007102718,0.0
Oahu_Airport_DSG,2007102720,0.0
Oahu_Airport_DSG,2007102722,0.0
Oahu_Airport_DSG,2007121500,0.0
Oahu_Airport_DSG,2007121502,0.0
Oahu_Airport_DSG,2007121504,0.0
Oahu_Airport_DSG,2007121506,0.0
Oahu_Airport_DSG,2007121508,0.0
Oahu_Airport_DSG,2007121510,0.0
Oahu_Airport_DSG,2007121512,0.0
Oahu_Airport_DSG,2007121514,0.0
Oahu_Airport_DSG,2007121516,0.0
Oahu_Airport_DSG,2007121518,0.0
Oahu_Airport_DSG,2007121520,0.0
Oahu_Airport_DSG,2007121522,0.0
Oahu_Airport_DSG,2008022000,0.0
Oahu_Airport_DSG,2008022002,0.0
Oahu_Airport_DSG,2008022004,0.0
Oahu_Airport_DSG,2008022006,0.0
Oahu_Airport_DSG,2008022008,0.0
Oahu_Airport_DSG,2008022010,0.0
Oahu_Airport_DSG,2008022012,0.0
Oahu_Airport_DSG,2008022014,0.0
Oahu_Airport_DSG,2008022016,0.0
Oahu_Airport_DSG,2008022018,0.0
Oahu_Airport_DSG,2008022020,0.0
Oahu_Airport_DSG,2008022022,0.0
Oahu_Airport_DSG,2008041000,0.0
Oahu_Airport_DSG,2008041002,0.0
Oahu_Airport_DSG,2008041004,0.0
Oahu_Airport_DSG,2008041006,0.0
Oahu_Airport_DSG,2008041008,0.0
Oahu_Airport_DSG,2008041010,0.0
Oahu_Airport_DSG,2008041012,0.0
Oahu_Airport_DSG,2008041014,0.0
Oahu_Airport_DSG,2008041016,0.0
Oahu_Airport_DSG,2008041018,8.0
Oahu_Airport_DSG,2008041020,0.0
Oahu_Airport_DSG,2008041022,0.0
Oahu_Airport_DSG,2008061700,0.0
Oahu_Airport_DSG,2008061702,0.0
Oahu_Airport_DSG,2008061704,0.0
Oahu_Airport_DSG,2008061706,0.0
Oahu_Airport_DSG,2008061708,0.0
Oahu_Airport_DSG,2008061710,0.0
Oahu_Airport_DSG,2008061712,0.0
Oahu_Airport_DSG,2008061714,0.0
Oahu_Airport_DSG,2008061716,0.0
Oahu_Airport_DSG,2008061718,0.0
Oahu_Airport_DSG,2008061720,0.0
Oahu_Airport_DSG,2008061722,0.0
Oahu_Airport_DSG,2008081800,0.0
Oahu_Airport_DSG,2008081802,0.0
Oahu_Airport_DSG,2008081804,0.0
Oahu_Airport_DSG,2008081806,0.0
Oahu_Airport_DSG,2008081808,0.0
Oahu_Airport_DSG,2008081810,0.0
Oahu_Airport_DSG,2008081812,0.0
Oahu_Airport_DSG,2008081814,0.0
Oahu_Airport_DSG,2008081816,0.0
Oahu_Airport_DSG,2008081818,0.0
Oahu_Airport_DSG,2008081820,0.0
Oahu_Airport_DSG,2008081822,0.0
Oahu_Airport_DSG,2008091000,0.0
Oahu_Airport_DSG,2008091002,0.0
Oahu_Airport_DSG,2008091004,0.0
Oahu_Airport_DSG,2008091006,0.0
Oahu_Airport_DSG,2008091008,0.0
Oahu_Airport_DSG,2008091010,0.0
Oahu_Airport_DSG,2008091012,0.0
Oahu_Airport_DSG,2008091014,0.0
Oahu_Airport_DSG,2008091016,0.0
Oahu_Airport_DSG,2008091018,0.0
Oahu_Airport_DSG,2008091020,0.0
Oahu_Airport_DSG,2008091022,0.0
Oahu_Airport_DSG,2008112200,0.0
Oahu_Airport_DSG,2008112202,0.0
Oahu_Airport_DSG,2008112204,0.0
Oahu_Airport_DSG,2008112206,0.0
Oahu_Airport_DSG,2008112208,0.0
Oahu_Airport_DSG,2008112210,0.0
Oahu_Airport_DSG,2008112212,0.0
Oahu_Airport_DSG,2008112214,0.0
Oahu_Airport_DSG,2008112216,0.0
Oahu_Airport_DSG,2008112218,0.0
Oahu_Airport_DSG,2008112220,0.0
Oahu_Airport_DSG,2008112222,0.0
Oahu_Airport_DSG,2307011200,0.0
Oahu_Airport_DSG,2307011202,0.0
Oahu_Airport_DSG,2307011204,0.0
Oahu_Airport_DSG,2307011206,0.0
Oahu_Airport_DSG,2307011208,0.0
Oahu_Airport_DSG,2307011210,0.0
Oahu_Airport_DSG,2307011212,0.0
Oahu_Airport_DSG,2307011214,0.0
Oahu_Airport_DSG,2307011216,0.0
Oahu_Airport_DSG,2307011218,0.0
Oahu_Airport_DSG,2307011220,0.0
Oahu_Airport_DSG,2307011222,0.0
Oahu_Airport_DSG,2307011900,0.0
Oahu_Airport_DSG,2307011902,0.0
Oahu_Airport_DSG,2307011904,0.0
Oahu_Airport_DSG,2307011906,0.0
Oahu_Airport_DSG,2307011908,0.0
Oahu_Airport_DSG,2307011910,0.0
Oahu_Airport_DSG,2307011912,0.0
Oahu_Airport_DSG,2307011914,0.0
Oahu_Airport_DSG,2307011916,0.0
Oahu_Airport_DSG,2307011918,0.0
Oahu_Airport_DSG,2307011920,0.0
Oahu_Airport_DSG,2307011922,0.0
Oahu_Airport_DSG,2307021200,0.0
Oahu_Airport_DSG,2307021202,0.0
Oahu_Airport_DSG,2307021204,0.0
Oahu_Airport_DSG,2307021206,0.0
Oahu_Airport_DSG,2307021208,0.0
Oahu_Airport_DSG,2307021210,0.0
Oahu_Airport_DSG,2307021212,0.0
Oahu_Airport_DSG,2307021214,0.0
Oahu_Airport_DSG,2307021216,0.0
Oahu_Airport_DSG,2307021218,0.0
Oahu_Airport_DSG,2307021220,0.0
