owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
PPA,variable_om,79713356.8689805,79713356.8689805,79713356.8689805,74914172.36031717,74914172.36031717,74914172.36031723,74914172.36031723,74914172.36031723,74914172.36031723,74914172.36031723,74497999.07049552,74497999.07049552,74497999.07049552,74497999.07049552,74497999.07049552,74393379.29408745,74393379.29408745,74393379.29408745,74393379.29408745,74393379.29408745,74253087.34624597,74253087.34624597,74253087.34624597,74253087.34624597,74253087.34624597,58899999.79437639,58899999.79437639,58899999.79437639,58899999.79437639,58899999.79437639
distributed,amortized_cost,228934542.09592152,228934542.09592152,228934542.09592152,246526540.1805799,246526540.1805799,255733000.91267055,255733000.91267055,255733000.91267055,255733000.91267055,255733000.91267055,277477003.7784766,277477003.7784766,277477003.7784766,277477003.7784766,277477003.7784766,298496643.48046714,298496643.48046714,298496643.48046714,298496643.48046714,298496643.48046714,321351343.7128803,321351343.7128803,321351343.7128803,321351343.7128803,321351343.7128803,252787152.6008796,252787152.6008796,252787152.6008796,252787152.6008796,252787152.6008796
distributed,capacity_added,179.09699999999987,0.0,0.0,97.309,0.0,55.683,0.0,0.0,0.0,0.0,175.117,0.0,0.0,0.0,0.0,245.15900000000002,0.0,0.0,0.0,0.0,248.12600000000003,0.0,0.0,0.0,0.0,537.8059999999994,0.0,0.0,0.0,0.0
distributed,capacity_in_place,712.0969999999991,712.0969999999991,712.0969999999991,809.4059999999992,809.4059999999992,865.0889999999991,865.0889999999991,865.0889999999991,865.0889999999991,865.0889999999991,1040.2059999999992,1040.2059999999992,1040.2059999999992,1040.2059999999992,1040.2059999999992,1247.267999999999,1247.267999999999,1247.267999999999,1247.267999999999,1247.267999999999,1461.323999999999,1461.323999999999,1461.323999999999,1461.323999999999,1461.323999999999,1682.742999999999,1682.742999999999,1682.742999999999,1682.742999999999,1682.742999999999
distributed,capacity_retired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.097,0.0,0.0,0.0,0.0,34.07,0.0,0.0,0.0,0.0,316.3869999999993,0.0,0.0,0.0,0.0
distributed,capital_outlay,397575014.5224024,0.0,0.0,225175018.82501844,0.0,122108977.74296203,0.0,0.0,0.0,0.0,284140908.5643432,0.0,0.0,0.0,0.0,358593706.9624432,0.0,0.0,0.0,0.0,355032840.74388945,0.0,0.0,0.0,0.0,759378498.9621859,0.0,0.0,0.0,0.0
distributed,fixed_om,5739491.066182397,5739491.066182397,5739491.066182397,7350639.317644177,7350639.317644177,8058202.29358483,8058202.29358483,8058202.29358483,8058202.29358483,8058202.29358483,9864652.321448086,9864652.321448086,9864652.321448086,9864652.321448086,9864652.321448086,11307688.587700991,11307688.587700991,11307688.587700991,11307688.587700991,11307688.587700991,13115533.196227942,13115533.196227942,13115533.196227942,13115533.196227942,13115533.196227942,16979821.676879764,16979821.676879764,16979821.676879764,16979821.676879764,16979821.676879764
distributed,renewable_output,1166153.6553163596,1166153.6553163596,1166153.6553163596,1292570.4151263335,1292570.4151263335,1376377.4455380216,1376377.4455380216,1376377.4455380216,1376377.4455380216,1376377.4455380216,1370891.7249181427,1370891.7249181427,1370891.7249181427,1370891.7249181427,1370891.7249181427,1610389.1647778312,1610389.1647778312,1610389.1647778312,1610389.1647778312,1610389.1647778312,1550799.0463402513,1550799.0463402513,1550799.0463402513,1550799.0463402513,1550799.0463402513,1514221.3066175513,1514221.3066175513,1514221.3066175513,1514221.3066175513,1514221.3066175513
distributed,storage_load,6774.708815834322,6774.708815834322,6774.708815834322,9969.264714678453,9969.264714678453,11599.690905494523,11599.690905494523,11599.690905494523,11599.690905494523,11599.690905494523,16953.251537450244,16953.251537450244,16953.251537450244,16953.251537450244,16953.251537450244,23161.797341944126,23161.797341944126,23161.797341944126,23161.797341944126,23161.797341944126,27556.70652863542,27556.70652863542,27556.70652863542,27556.70652863542,27556.70652863542,30231.488186703853,30231.488186703853,30231.488186703853,30231.488186703853,30231.488186703853
distributed,total_output,1166153.6553163596,1166153.6553163596,1166153.6553163596,1292570.4151263335,1292570.4151263335,1376377.4455380216,1376377.4455380216,1376377.4455380216,1376377.4455380216,1376377.4455380216,1370891.7249181427,1370891.7249181427,1370891.7249181427,1370891.7249181427,1370891.7249181427,1610389.1647778312,1610389.1647778312,1610389.1647778312,1610389.1647778312,1610389.1647778312,1550799.0463402513,1550799.0463402513,1550799.0463402513,1550799.0463402513,1550799.0463402513,1514221.3066175513,1514221.3066175513,1514221.3066175513,1514221.3066175513,1514221.3066175513
system,co2_emissions,4708522.72866485,4708522.72866485,4708522.72866485,3702660.0691374387,3702660.0691374387,3194895.219178548,3194895.219178548,3194895.219178548,3194895.219178548,3194895.219178548,1237152.2314226937,1237152.2314226937,1237152.2314226937,1237152.2314226937,1237152.2314226937,1095455.94583897,1095455.94583897,1095455.94583897,1095455.94583897,1095455.94583897,844885.1122281477,844885.1122281477,844885.1122281477,844885.1122281477,844885.1122281477,0.0,0.0,0.0,0.0,0.0
system,ev_load,24646.04553986999,24646.04553986999,24646.04553986999,44094.823512284835,44094.823512284835,63752.4438742362,63752.4438742362,63752.4438742362,63752.4438742362,63752.4438742362,145082.01493871104,145082.01493871104,145082.01493871104,145082.01493871104,145082.01493871104,287956.64512725675,287956.64512725675,287956.64512725675,287956.64512725675,287956.64512725675,523472.70188441896,523472.70188441896,523472.70188441896,523472.70188441896,523472.70188441896,925893.4814995892,925893.4814995892,925893.4814995892,925893.4814995892,925893.4814995892
system,gross_load,7917644.353182679,7917644.353182679,7917644.353182679,8056386.051654423,8056386.051654423,8223605.444129768,8223605.444129768,8223605.444129768,8223605.444129768,8223605.444129768,8425359.900663232,8425359.900663232,8425359.900663232,8425359.900663232,8425359.900663232,8573907.748737168,8573907.748737168,8573907.748737168,8573907.748737168,8573907.748737168,8798578.155055901,8798578.155055901,8798578.155055901,8798578.155055901,8798578.155055901,9000426.747959584,9000426.747959584,9000426.747959584,9000426.747959584,9000426.747959584
