load_zone,technology,period,capacity
Oahu,IC_Schofield,2050,0.0
Oahu,Kahe_1,2020,82.1
Oahu,Kahe_1,2021,82.1
Oahu,Kahe_1,2022,82.1
Oahu,Kahe_1,2023,82.1
Oahu,Kahe_1,2024,82.1
Oahu,Kahe_1,2025,82.1
Oahu,Kahe_1,2026,82.1
Oahu,Kahe_1,2027,82.1
Oahu,Kahe_1,2028,82.1
Oahu,Kahe_1,2029,82.1
Oahu,Kahe_1,2030,82.1
Oahu,Kahe_1,2031,82.1
Oahu,Kahe_1,2032,82.1
Oahu,Kahe_1,2033,82.1
Oahu,Kahe_1,2034,82.1
Oahu,Kahe_1,2035,0.0
Oahu,Kahe_1,2036,0.0
Oahu,Kahe_1,2037,0.0
Oahu,Kahe_1,2038,0.0
Oahu,Kahe_1,2039,0.0
Oahu,Kahe_1,2040,0.0
Oahu,Kahe_1,2041,0.0
Oahu,Kahe_1,2042,0.0
Oahu,Kahe_1,2043,0.0
Oahu,Kahe_1,2044,0.0
Oahu,Kahe_1,2045,0.0
Oahu,Kahe_1,2046,0.0
Oahu,Kahe_1,2047,0.0
Oahu,Kahe_1,2048,0.0
Oahu,Kahe_1,2049,0.0
Oahu,Kahe_1,2050,0.0
Oahu,Kahe_2,2020,82.1
Oahu,Kahe_2,2021,82.1
Oahu,Kahe_2,2022,82.1
Oahu,Kahe_2,2023,82.1
Oahu,Kahe_2,2024,82.1
Oahu,Kahe_2,2025,82.1
Oahu,Kahe_2,2026,82.1
Oahu,Kahe_2,2027,82.1
Oahu,Kahe_2,2028,82.1
Oahu,Kahe_2,2029,82.1
Oahu,Kahe_2,2030,82.1
Oahu,Kahe_2,2031,82.1
Oahu,Kahe_2,2032,82.1
Oahu,Kahe_2,2033,82.1
Oahu,Kahe_2,2034,82.1
Oahu,Kahe_2,2035,0.0
Oahu,Kahe_2,2036,0.0
Oahu,Kahe_2,2037,0.0
Oahu,Kahe_2,2038,0.0
Oahu,Kahe_2,2039,0.0
Oahu,Kahe_2,2040,0.0
Oahu,Kahe_2,2041,0.0
Oahu,Kahe_2,2042,0.0
Oahu,Kahe_2,2043,0.0
Oahu,Kahe_2,2044,0.0
Oahu,Kahe_2,2045,0.0
Oahu,Kahe_2,2046,0.0
Oahu,Kahe_2,2047,0.0
Oahu,Kahe_2,2048,0.0
Oahu,Kahe_2,2049,0.0
Oahu,Kahe_2,2050,0.0
Oahu,Kahe_3,2020,86.1
Oahu,Kahe_3,2021,86.1
Oahu,Kahe_3,2022,86.1
Oahu,Kahe_3,2023,86.1
Oahu,Kahe_3,2024,86.1
Oahu,Kahe_3,2025,86.1
Oahu,Kahe_3,2026,86.1
Oahu,Kahe_3,2027,86.1
Oahu,Kahe_3,2028,86.1
Oahu,Kahe_3,2029,86.1
Oahu,Kahe_3,2030,86.1
Oahu,Kahe_3,2031,86.1
Oahu,Kahe_3,2032,86.1
Oahu,Kahe_3,2033,86.1
Oahu,Kahe_3,2034,86.1
Oahu,Kahe_3,2035,86.1
Oahu,Kahe_3,2036,86.1
Oahu,Kahe_3,2037,86.1
Oahu,Kahe_3,2038,86.1
Oahu,Kahe_3,2039,0.0
Oahu,Kahe_3,2040,0.0
Oahu,Kahe_3,2041,0.0
Oahu,Kahe_3,2042,0.0
Oahu,Kahe_3,2043,0.0
Oahu,Kahe_3,2044,0.0
Oahu,Kahe_3,2045,0.0
Oahu,Kahe_3,2046,0.0
Oahu,Kahe_3,2047,0.0
Oahu,Kahe_3,2048,0.0
Oahu,Kahe_3,2049,0.0
Oahu,Kahe_3,2050,0.0
Oahu,Kahe_4,2020,85.3
Oahu,Kahe_4,2021,85.3
Oahu,Kahe_4,2022,85.3
Oahu,Kahe_4,2023,85.3
Oahu,Kahe_4,2024,85.3
Oahu,Kahe_4,2025,85.3
Oahu,Kahe_4,2026,85.3
Oahu,Kahe_4,2027,85.3
Oahu,Kahe_4,2028,85.3
Oahu,Kahe_4,2029,85.3
Oahu,Kahe_4,2030,85.3
Oahu,Kahe_4,2031,85.3
Oahu,Kahe_4,2032,85.3
Oahu,Kahe_4,2033,85.3
Oahu,Kahe_4,2034,85.3
Oahu,Kahe_4,2035,85.3
Oahu,Kahe_4,2036,85.3
Oahu,Kahe_4,2037,85.3
Oahu,Kahe_4,2038,85.3
Oahu,Kahe_4,2039,0.0
Oahu,Kahe_4,2040,0.0
Oahu,Kahe_4,2041,0.0
Oahu,Kahe_4,2042,0.0
Oahu,Kahe_4,2043,0.0
Oahu,Kahe_4,2044,0.0
Oahu,Kahe_4,2045,0.0
Oahu,Kahe_4,2046,0.0
Oahu,Kahe_4,2047,0.0
Oahu,Kahe_4,2048,0.0
Oahu,Kahe_4,2049,0.0
Oahu,Kahe_4,2050,0.0
Oahu,Kahe_5,2020,134.3
Oahu,Kahe_5,2021,134.3
Oahu,Kahe_5,2022,134.3
Oahu,Kahe_5,2023,134.3
Oahu,Kahe_5,2024,134.3
Oahu,Kahe_5,2025,134.3
Oahu,Kahe_5,2026,134.3
Oahu,Kahe_5,2027,134.3
Oahu,Kahe_5,2028,0.0
Oahu,Kahe_5,2029,0.0
Oahu,Kahe_5,2030,0.0
Oahu,Kahe_5,2031,0.0
Oahu,Kahe_5,2032,0.0
Oahu,Kahe_5,2033,0.0
Oahu,Kahe_5,2034,0.0
Oahu,Kahe_5,2035,0.0
Oahu,Kahe_5,2036,0.0
Oahu,Kahe_5,2037,0.0
Oahu,Kahe_5,2038,0.0
Oahu,Kahe_5,2039,0.0
Oahu,Kahe_5,2040,0.0
Oahu,Kahe_5,2041,0.0
Oahu,Kahe_5,2042,0.0
Oahu,Kahe_5,2043,0.0
Oahu,Kahe_5,2044,0.0
Oahu,Kahe_5,2045,0.0
Oahu,Kahe_5,2046,0.0
Oahu,Kahe_5,2047,0.0
Oahu,Kahe_5,2048,0.0
Oahu,Kahe_5,2049,0.0
Oahu,Kahe_5,2050,0.0
Oahu,Kahe_6,2020,134.4
Oahu,Kahe_6,2021,134.4
Oahu,Kahe_6,2022,134.4
Oahu,Kahe_6,2023,134.4
Oahu,Kahe_6,2024,134.4
Oahu,Kahe_6,2025,134.4
Oahu,Kahe_6,2026,134.4
Oahu,Kahe_6,2027,134.4
Oahu,Kahe_6,2028,0.0
Oahu,Kahe_6,2029,0.0
Oahu,Kahe_6,2030,0.0
Oahu,Kahe_6,2031,0.0
Oahu,Kahe_6,2032,0.0
Oahu,Kahe_6,2033,0.0
Oahu,Kahe_6,2034,0.0
Oahu,Kahe_6,2035,0.0
Oahu,Kahe_6,2036,0.0
Oahu,Kahe_6,2037,0.0
Oahu,Kahe_6,2038,0.0
Oahu,Kahe_6,2039,0.0
Oahu,Kahe_6,2040,0.0
Oahu,Kahe_6,2041,0.0
Oahu,Kahe_6,2042,0.0
Oahu,Kahe_6,2043,0.0
Oahu,Kahe_6,2044,0.0
Oahu,Kahe_6,2045,0.0
Oahu,Kahe_6,2046,0.0
Oahu,Kahe_6,2047,0.0
Oahu,Kahe_6,2048,0.0
Oahu,Kahe_6,2049,0.0
Oahu,Kahe_6,2050,0.0
Oahu,Kalaeloa_CC1,2020,90.0
Oahu,Kalaeloa_CC1,2021,90.0
Oahu,Kalaeloa_CC1,2022,90.0
Oahu,Kalaeloa_CC1,2023,90.0
Oahu,Kalaeloa_CC1,2024,90.0
Oahu,Kalaeloa_CC1,2025,90.0
Oahu,Kalaeloa_CC1,2026,90.0
Oahu,Kalaeloa_CC1,2027,90.0
Oahu,Kalaeloa_CC1,2028,90.0
Oahu,Kalaeloa_CC1,2029,90.0
Oahu,Kalaeloa_CC1,2030,90.0
Oahu,Kalaeloa_CC1,2031,90.0
Oahu,Kalaeloa_CC1,2032,90.0
Oahu,Kalaeloa_CC1,2033,90.0
Oahu,Kalaeloa_CC1,2034,90.0
Oahu,Kalaeloa_CC1,2035,90.0
Oahu,Kalaeloa_CC1,2036,90.0
Oahu,Kalaeloa_CC1,2037,90.0
Oahu,Kalaeloa_CC1,2038,90.0
Oahu,Kalaeloa_CC1,2039,90.0
Oahu,Kalaeloa_CC1,2040,90.0
Oahu,Kalaeloa_CC1,2041,90.0
Oahu,Kalaeloa_CC1,2042,90.0
Oahu,Kalaeloa_CC1,2043,90.0
Oahu,Kalaeloa_CC1,2044,90.0
Oahu,Kalaeloa_CC1,2045,90.0
Oahu,Kalaeloa_CC1,2046,90.0
Oahu,Kalaeloa_CC1,2047,90.0
Oahu,Kalaeloa_CC1,2048,90.0
Oahu,Kalaeloa_CC1,2049,90.0
Oahu,Kalaeloa_CC1,2050,90.0
Oahu,Kalaeloa_CC2,2020,90.0
Oahu,Kalaeloa_CC2,2021,90.0
Oahu,Kalaeloa_CC2,2022,90.0
Oahu,Kalaeloa_CC2,2023,90.0
Oahu,Kalaeloa_CC2,2024,90.0
Oahu,Kalaeloa_CC2,2025,90.0
Oahu,Kalaeloa_CC2,2026,90.0
Oahu,Kalaeloa_CC2,2027,90.0
Oahu,Kalaeloa_CC2,2028,90.0
Oahu,Kalaeloa_CC2,2029,90.0
Oahu,Kalaeloa_CC2,2030,90.0
Oahu,Kalaeloa_CC2,2031,90.0
Oahu,Kalaeloa_CC2,2032,90.0
Oahu,Kalaeloa_CC2,2033,90.0
Oahu,Kalaeloa_CC2,2034,90.0
Oahu,Kalaeloa_CC2,2035,90.0
Oahu,Kalaeloa_CC2,2036,90.0
Oahu,Kalaeloa_CC2,2037,90.0
Oahu,Kalaeloa_CC2,2038,90.0
Oahu,Kalaeloa_CC2,2039,90.0
Oahu,Kalaeloa_CC2,2040,90.0
Oahu,Kalaeloa_CC2,2041,90.0
Oahu,Kalaeloa_CC2,2042,90.0
Oahu,Kalaeloa_CC2,2043,90.0
Oahu,Kalaeloa_CC2,2044,90.0
