owner,variable,gen_tech,gen_vintage,gen_is_intermittent,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,capacity_in_place,Waiau_10,1973,0,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9
HECO,capacity_in_place,Waiau_3,1947,0,46.6,46.6,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_in_place,Waiau_4,1950,0,46.6,46.6,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_in_place,Waiau_5,1959,0,54.5,54.5,54.5,54.5,54.5,54.5,,,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_in_place,Waiau_6,1961,0,53.5,53.5,53.5,53.5,53.5,53.5,,,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_in_place,Waiau_7,1966,0,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,,,,,,,,,,,,,,,,,,,
HECO,capacity_in_place,Waiau_8,1968,0,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,,,,,,,,,,,,,,,,,,,
HECO,capacity_in_place,Waiau_9,1973,0,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9
HECO,capacity_retired,IC_Schofield,2018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.84,
HECO,capacity_retired,Kahe_1,1963,0,,,,,,,,,,,,,,,,82.1,,,,,,,,,,,,,,
HECO,capacity_retired,Kahe_2,1964,0,,,,,,,,,,,,,,,,82.1,,,,,,,,,,,,,,
HECO,capacity_retired,Kahe_3,1970,0,,,,,,,,,,,,,,,,,,,,86.1,,,,,,,,,,
HECO,capacity_retired,Kahe_4,1972,0,,,,,,,,,,,,,,,,,,,,85.3,,,,,,,,,,
HECO,capacity_retired,Kahe_5,1974,0,,,,,,,,,134.3,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_retired,Kahe_6,1981,0,,,,,,,,,134.4,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_retired,Waiau_3,1947,0,,,,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_retired,Waiau_4,1950,0,,,,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_retired,Waiau_5,1959,0,,,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_retired,Waiau_6,1961,0,,,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,
HECO,capacity_retired,Waiau_7,1966,0,,,,,,,,,,,,82.9,,,,,,,,,,,,,,,,,,
HECO,capacity_retired,Waiau_8,1968,0,,,,,,,,,,,,86.1,,,,,,,,,,,,,,,,,,
HECO,fixed_om,Airport_DSG,2013,0,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737,67349.46997205737
HECO,fixed_om,CIP_CT,2009,0,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938,1694967.0099513938
HECO,fixed_om,IC_Schofield,2018,0,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,1821761.901489024,,
HECO,fixed_om,Kahe_1,1963,0,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,,,,,,,,,,,,,,,
HECO,fixed_om,Kahe_2,1964,0,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,876086.9790375899,,,,,,,,,,,,,,,
HECO,fixed_om,Kahe_3,1970,0,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,,,,,,,,,,,
HECO,fixed_om,Kahe_4,1972,0,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,910234.0963691404,,,,,,,,,,,
HECO,fixed_om,Kahe_5,1974,0,1433111.830508506,1433111.830508506,1433111.830508506,1433111.830508506,1433111.830508506,1433111.830508506,1433111.830508506,1433111.830508506,,,,,,,,,,,,,,,,,,,,,,
HECO,fixed_om,Kahe_6,1981,0,1434178.9279251168,1434178.9279251168,1434178.9279251168,1434178.9279251168,1434178.9279251168,1434178.9279251168,1434178.9279251168,1434178.9279251168,,,,,,,,,,,,,,,,,,,,,,
HECO,fixed_om,Waiau_10,1973,0,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144,944401.3476142144
HECO,fixed_om,Waiau_3,1947,0,497267.3961407027,497267.3961407027,497267.3961407027,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,fixed_om,Waiau_4,1950,0,497267.3961407027,497267.3961407027,497267.3961407027,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,fixed_om,Waiau_5,1959,0,581568.0920529679,581568.0920529679,581568.0920529679,581568.0920529679,581568.0920529679,581568.0920529679,,,,,,,,,,,,,,,,,,,,,,,,
HECO,fixed_om,Waiau_6,1961,0,570897.1178868582,570897.1178868582,570897.1178868582,570897.1178868582,570897.1178868582,570897.1178868582,,,,,,,,,,,,,,,,,,,,,,,,
HECO,fixed_om,Waiau_7,1966,0,884623.7583704777,884623.7583704777,884623.7583704777,884623.7583704777,884623.7583704777,884623.7583704777,884623.7583704777,884623.7583704777,884623.7583704777,884623.7583704777,884623.7583704777,,,,,,,,,,,,,,,,,,,
HECO,fixed_om,Waiau_8,1968,0,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,918770.8757020277,,,,,,,,,,,,,,,,,,,
HECO,fixed_om,Waiau_9,1973,0,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256,1001178.9837433256
HECO,fuel_cost,Airport_DSG,2013,0,,,,952049.3811913064,527563.4599299002,762349.3696210106,652287.5041220826,564007.870587831,451379.10833282064,453867.5530990037,117221.3223095735,,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,CIP_CT,2009,0,1.0997791149882442e-06,,,,,,920730.9583184107,4494149.666296838,1963059.3184620687,2858128.3326031417,1973097.9579919,,,,,,,,,,,1.256214987172208e-06,2.284580987049341e-06,,,-4.817829632357056e-08,,1.1756294286446383e-07,-1.3876627416543472e-07,-6.034800674048089e-08
HECO,fuel_cost,IC_Schofield,2018,0,,134945.75056679768,,544378.138131343,365532.7128356567,2095436.8009801202,1928673.3387352768,2015897.5645930462,2900907.4785731495,2860186.996830733,688531.3227110852,841689.0830148652,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Kahe_1,1963,0,42813272.35722762,40498961.67210773,41235225.02614083,27355707.572398067,32507380.03069664,3756684.180084568,3487113.6317950985,7114188.669151885,,1753150.2966329958,,,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Kahe_2,1964,0,41616219.47583669,39830696.55549499,40562746.19682753,64253983.98686459,70135102.19084723,49887674.00793471,9566366.73498536,13483527.111590425,,1094112.1056478121,1398698.2311624538,1397579.9806912749,,,,,,,,,,,,,,,,,,
HECO,fuel_cost,Kahe_3,1970,0,44846453.66460661,42549191.71738856,40240719.36392516,88707684.72217748,89897045.91265543,68154320.35186017,42263721.38340639,38022374.92857153,19935504.41709133,25297293.606759805,17298878.02895049,19923735.063645754,,,,,,,,,,,,,,,,,,
