DISCRETE_GEN_TPS_1,DISCRETE_GEN_TPS_2,CommitGenUnits
Oahu_AES,2207121502,1.0
Oahu_AES,2207121504,1.0
Oahu_AES,2207121506,1.0
Oahu_AES,2207121508,1.0
Oahu_AES,2207121510,1.0
Oahu_AES,2207121512,1.0
Oahu_AES,2207121514,1.0
Oahu_AES,2207121516,1.0
Oahu_AES,2207121518,1.0
Oahu_AES,2207121520,1.0
Oahu_AES,2207121522,1.0
Oahu_AES,2208022000,1.0
Oahu_AES,2208022002,1.0
Oahu_AES,2208022004,1.0
Oahu_AES,2208022006,1.0
Oahu_AES,2208022008,1.0
Oahu_AES,2208022010,1.0
Oahu_AES,2208022012,1.0
Oahu_AES,2208022014,1.0
Oahu_AES,2208022016,1.0
Oahu_AES,2208022018,1.0
Oahu_AES,2208022020,1.0
Oahu_AES,2208022022,1.0
Oahu_AES,2208041000,1.0
Oahu_AES,2208041002,1.0
Oahu_AES,2208041004,1.0
Oahu_AES,2208041006,1.0
Oahu_AES,2208041008,1.0
Oahu_AES,2208041010,1.0
Oahu_AES,2208041012,1.0
Oahu_AES,2208041014,1.0
Oahu_AES,2208041016,1.0
Oahu_AES,2208041018,1.0
Oahu_AES,2208041020,1.0
Oahu_AES,2208041022,1.0
Oahu_AES,2208061700,1.0
Oahu_AES,2208061702,1.0
Oahu_AES,2208061704,1.0
Oahu_AES,2208061706,1.0
Oahu_AES,2208061708,1.0
Oahu_AES,2208061710,1.0
Oahu_AES,2208061712,1.0
Oahu_AES,2208061714,1.0
Oahu_AES,2208061716,1.0
Oahu_AES,2208061718,1.0
Oahu_AES,2208061720,1.0
Oahu_AES,2208061722,1.0
Oahu_AES,2208081800,1.0
Oahu_AES,2208081802,1.0
Oahu_AES,2208081804,1.0
Oahu_AES,2208081806,1.0
Oahu_AES,2208081808,1.0
Oahu_AES,2208081810,1.0
Oahu_AES,2208081812,1.0
Oahu_AES,2208081814,1.0
Oahu_AES,2208081816,1.0
Oahu_AES,2208081818,1.0
Oahu_AES,2208081820,1.0
Oahu_AES,2208081822,1.0
Oahu_AES,2208091000,1.0
Oahu_AES,2208091002,1.0
Oahu_AES,2208091004,1.0
Oahu_AES,2208091006,1.0
Oahu_AES,2208091008,1.0
Oahu_AES,2208091010,1.0
Oahu_AES,2208091012,1.0
Oahu_AES,2208091014,1.0
Oahu_AES,2208091016,1.0
Oahu_AES,2208091018,1.0
Oahu_AES,2208091020,1.0
Oahu_AES,2208091022,1.0
Oahu_AES,2208112200,1.0
Oahu_AES,2208112202,1.0
Oahu_AES,2208112204,1.0
Oahu_AES,2208112206,1.0
Oahu_AES,2208112208,1.0
Oahu_AES,2208112210,1.0
Oahu_AES,2208112212,1.0
Oahu_AES,2208112214,1.0
Oahu_AES,2208112216,1.0
Oahu_AES,2208112218,1.0
Oahu_AES,2208112220,1.0
Oahu_AES,2208112222,1.0
Oahu_Airport_DSG,2007011200,0.0
Oahu_Airport_DSG,2007011202,0.0
Oahu_Airport_DSG,2007011204,0.0
Oahu_Airport_DSG,2007011206,0.0
Oahu_Airport_DSG,2007011208,0.0
Oahu_Airport_DSG,2007011210,0.0
Oahu_Airport_DSG,2007011212,0.0
Oahu_Airport_DSG,2007011214,0.0
Oahu_Airport_DSG,2007011216,0.0
Oahu_Airport_DSG,2007011218,0.0
Oahu_Airport_DSG,2007011220,0.0
Oahu_Airport_DSG,2007011222,0.0
Oahu_Airport_DSG,2007011900,0.0
Oahu_Airport_DSG,2007011902,0.0
Oahu_Airport_DSG,2007011904,0.0
Oahu_Airport_DSG,2007011906,0.0
Oahu_Airport_DSG,2007011908,0.0
Oahu_Airport_DSG,2007011910,0.0
Oahu_Airport_DSG,2007011912,0.0
Oahu_Airport_DSG,2007011914,0.0
Oahu_Airport_DSG,2007011916,0.0
Oahu_Airport_DSG,2007011918,0.0
Oahu_Airport_DSG,2007011920,0.0
Oahu_Airport_DSG,2007011922,0.0
Oahu_Airport_DSG,2007021200,0.0
Oahu_Airport_DSG,2007021202,0.0
Oahu_Airport_DSG,2007021204,0.0
Oahu_Airport_DSG,2007021206,0.0
Oahu_Airport_DSG,2007021208,0.0
Oahu_Airport_DSG,2007021210,0.0
Oahu_Airport_DSG,2007021212,0.0
Oahu_Airport_DSG,2007021214,0.0
Oahu_Airport_DSG,2007021216,0.0
Oahu_Airport_DSG,2007021218,0.0
Oahu_Airport_DSG,2007021220,0.0
Oahu_Airport_DSG,2007021222,0.0
