load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Bulk_MWh,CIP_CT,CentralTrackingPV,DistBattery,DistBattery_MWh,FlatDistPV,H-Power,Hawaii_Cogen,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,fuel cells
Oahu,2036,0.0,8.0,604.9928839147717,4628.947694622588,113.0,2069.818672998535,159.999,639.996,826.3099999999997,73.0,12.2,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2037,0.0,8.0,611.4857678295434,4672.796800949438,113.0,2101.2733029218675,169.687,678.748,859.4849999999997,73.0,12.2,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2038,0.0,8.0,617.978651744315,4716.645907276288,113.0,2132.727932845201,179.464,717.856,861.5363539656879,73.0,12.2,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,334.25964603431066,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2039,0.0,8.0,624.4715356590867,4760.495013603138,113.0,2164.182562768534,189.291,757.164,861.5363539656879,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,367.36064603431055,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2040,0.0,8.0,630.9644195738584,4804.344119929989,113.0,2195.6371926918664,199.16500000000002,796.6600000000001,861.5363539656879,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,400.6226460343108,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2041,0.0,8.0,682.0037254847374,5290.531059893504,113.0,2444.861024081227,209.10399999999998,836.4159999999999,868.2896409805307,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,427.32635901946793,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2042,0.0,8.0,733.0430313956163,5776.717999857019,113.0,2694.084855470588,219.202,876.808,868.2896409805307,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,460.669359019468,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2043,0.0,8.0,784.0823373064952,6262.904939820535,113.0,2943.308686859948,229.44000000000003,917.7600000000001,868.2896409805307,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,0.0,323.0,494.74135901946806,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2044,0.0,8.0,835.1216432173742,6749.091879784051,113.0,3192.532518249309,239.81,959.24,868.2896409805306,73.0,12.2,48.84,0.0,0.0,0.0,0.0,134.3,134.4,90.0,90.0,28.0,139.45195041677567,323.0,529.1273590194677,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2045,0.0,8.0,886.160949128253,7235.278819747566,113.0,3441.7563496386692,250.28799999999995,1001.152,868.2896409805307,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,278.90390083355135,323.0,564.1653590194678,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2046,0.0,8.0,892.9802876708786,7150.536761437761,113.0,3441.7563496386692,250.28799999999998,1001.1520000000002,868.2896409805305,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,417.2293703968573,323.0,564.1653590194677,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2047,0.0,8.0,892.9802876708786,6994.160543297694,113.0,3441.7563496386692,250.28799999999995,1001.152,868.2896409805305,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,555.5548399601632,323.0,564.1653590194677,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2048,0.0,8.0,892.9802876708786,6837.784325157629,113.0,3441.7563496386692,250.28799999999995,1001.152,868.2896409805305,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,693.8803095234691,323.0,564.1653590194677,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2049,0.0,8.0,892.9802876708786,6681.408107017563,113.0,3441.7563496386692,250.28799999999995,1001.152,868.2896409805305,73.0,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,832.205779086775,323.0,564.1653590194682,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
Oahu,2050,0.0,8.0,892.9802876708786,6525.031888877496,113.0,3441.756349638669,250.2879999999999,1001.152,868.2896409805305,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,28.0,970.5312486500809,323.0,564.165359019468,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0.0
