GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_OffshoreWind_OffWind,2025,4754887.34532021,.,93349.5508090156
Oahu_OffshoreWind_OffWind,2045,3320530.87186454,.,62601.3574623924
Oahu_OnshoreWind_OnWind_101,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_101,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_102,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_102,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_103,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_103,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_104,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_104,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_105,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_105,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_106,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_106,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_107,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_107,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_201,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_201,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_202,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_202,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_203,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_203,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_204,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_204,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_205,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_205,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_206,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_206,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_207,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_207,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_208,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_208,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_209,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_209,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_301,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_301,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_302,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_302,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_303,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_303,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_304,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_304,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_305,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_305,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_306,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_306,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_307,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_307,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_308,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_308,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_309,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_309,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_401,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_401,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_402,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_402,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_403,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_403,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_404,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_404,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_405,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_405,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_406,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_406,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_407,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_407,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_408,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_408,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_409,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_409,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_410,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_410,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_501,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_501,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_502,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_502,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_503,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_503,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_504,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_504,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_505,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_505,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_506,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_506,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_507,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_507,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_508,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_508,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_509,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_509,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_Kahuku,2011,6608737.05192293,.,52411.3651872
Oahu_OnshoreWind_OnWind_Kahuku,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_Kahuku,2045,1538226.13355332,.,35964.67725
Oahu_OnshoreWind_OnWind_Kawailoa,2012,4987575.02548474,.,52411.3651872
Oahu_OnshoreWind_OnWind_Kawailoa,2025,2096147.43745615,.,42368.2892307692
Oahu_OnshoreWind_OnWind_Kawailoa,2045,1538226.13355332,.,35964.67725
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2013,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2014,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2015,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2016,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2017,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2018,5147894.51684881,.,22888.8
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2019,4712925.66277055,.,21848.4
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2020,4456794.18415823,.,20633.3064081399
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2025,3176136.7910966,.,14704.3369958176
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2045,1558022.16139007,.,7213.06556199104
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,2013,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,2014,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,2015,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,2016,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,2017,6631966.11385323,.,0.0
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,2018,5147894.51684881,.,22888.8
