GENERATION_PROJECT,build_year,gen_predetermined_cap,gen_predetermined_storage_energy_mwh
Oahu_CentralTrackingPV_PV_07,2035,0.0,.
Oahu_CentralTrackingPV_PV_07,2036,0.0,.
Oahu_CentralTrackingPV_PV_07,2037,0.0,.
Oahu_CentralTrackingPV_PV_07,2038,0.0,.
Oahu_CentralTrackingPV_PV_07,2039,0.0,.
Oahu_CentralTrackingPV_PV_07,2040,0.0,.
Oahu_CentralTrackingPV_PV_07,2041,0.0,.
Oahu_CentralTrackingPV_PV_07,2042,0.0,.
Oahu_CentralTrackingPV_PV_07,2043,0.0,.
Oahu_CentralTrackingPV_PV_07,2044,0.0,.
Oahu_CentralTrackingPV_PV_07,2045,0.0,.
Oahu_CentralTrackingPV_PV_07,2046,6.5,.
Oahu_CentralTrackingPV_PV_07,2047,0.0,.
Oahu_CentralTrackingPV_PV_07,2048,0.0,.
Oahu_CentralTrackingPV_PV_07,2049,0.0,.
Oahu_CentralTrackingPV_PV_07,2050,12.427847141096272,.
Oahu_CentralTrackingPV_PV_08,2020,0.0,.
Oahu_CentralTrackingPV_PV_08,2021,0.0,.
Oahu_CentralTrackingPV_PV_08,2022,0.0,.
Oahu_CentralTrackingPV_PV_08,2023,0.0,.
Oahu_CentralTrackingPV_PV_08,2024,0.0,.
Oahu_CentralTrackingPV_PV_08,2025,0.0,.
Oahu_CentralTrackingPV_PV_08,2026,0.0,.
Oahu_CentralTrackingPV_PV_08,2027,0.0,.
Oahu_CentralTrackingPV_PV_08,2028,0.0,.
Oahu_CentralTrackingPV_PV_08,2029,0.0,.
Oahu_CentralTrackingPV_PV_08,2030,0.0,.
Oahu_CentralTrackingPV_PV_08,2031,0.0,.
Oahu_CentralTrackingPV_PV_08,2032,0.0,.
Oahu_CentralTrackingPV_PV_08,2033,0.0,.
Oahu_CentralTrackingPV_PV_08,2034,0.0,.
Oahu_CentralTrackingPV_PV_08,2035,0.0,.
Oahu_CentralTrackingPV_PV_08,2036,0.0,.
Oahu_CentralTrackingPV_PV_08,2037,0.0,.
Oahu_CentralTrackingPV_PV_08,2038,0.0,.
Oahu_CentralTrackingPV_PV_08,2039,0.0,.
Oahu_CentralTrackingPV_PV_08,2040,158.47699050936671,.
Oahu_CentralTrackingPV_PV_08,2041,0.0,.
Oahu_CentralTrackingPV_PV_08,2042,0.0,.
Oahu_CentralTrackingPV_PV_08,2043,0.0,.
Oahu_CentralTrackingPV_PV_08,2044,0.0,.
Oahu_CentralTrackingPV_PV_08,2045,0.0,.
Oahu_CentralTrackingPV_PV_08,2046,0.0,.
Oahu_CentralTrackingPV_PV_08,2047,0.0,.
Oahu_CentralTrackingPV_PV_08,2048,0.0,.
Oahu_CentralTrackingPV_PV_08,2049,0.0,.
Oahu_CentralTrackingPV_PV_08,2050,7.996113470360697,.
Oahu_CentralTrackingPV_PV_09,2020,0.0,.
Oahu_CentralTrackingPV_PV_09,2021,0.0,.
Oahu_CentralTrackingPV_PV_09,2022,0.0,.
Oahu_CentralTrackingPV_PV_09,2023,0.0,.
Oahu_CentralTrackingPV_PV_09,2024,0.0,.
Oahu_CentralTrackingPV_PV_09,2025,0.0,.
Oahu_CentralTrackingPV_PV_09,2026,0.0,.
Oahu_CentralTrackingPV_PV_09,2027,0.0,.
Oahu_CentralTrackingPV_PV_09,2028,0.0,.
Oahu_CentralTrackingPV_PV_09,2029,0.0,.
Oahu_CentralTrackingPV_PV_09,2030,0.0,.
Oahu_CentralTrackingPV_PV_09,2031,0.0,.
Oahu_CentralTrackingPV_PV_09,2032,0.0,.
Oahu_CentralTrackingPV_PV_09,2033,0.0,.
Oahu_CentralTrackingPV_PV_09,2034,0.0,.
Oahu_CentralTrackingPV_PV_09,2035,0.0,.
Oahu_CentralTrackingPV_PV_09,2036,0.0,.
Oahu_CentralTrackingPV_PV_09,2037,0.0,.
Oahu_CentralTrackingPV_PV_09,2038,0.0,.
Oahu_CentralTrackingPV_PV_09,2039,0.0,.
Oahu_CentralTrackingPV_PV_09,2040,0.0,.
Oahu_CentralTrackingPV_PV_09,2041,0.0,.
Oahu_CentralTrackingPV_PV_09,2042,0.0,.
Oahu_CentralTrackingPV_PV_09,2043,0.0,.
Oahu_CentralTrackingPV_PV_09,2044,0.0,.
Oahu_CentralTrackingPV_PV_09,2045,338.27024458469,.
Oahu_CentralTrackingPV_PV_09,2046,0.0,.
Oahu_CentralTrackingPV_PV_09,2047,0.0,.
Oahu_CentralTrackingPV_PV_09,2048,0.0,.
Oahu_CentralTrackingPV_PV_09,2049,0.0,.
Oahu_CentralTrackingPV_PV_09,2050,0.0,.
Oahu_CentralTrackingPV_PV_10,2020,0.0,.
Oahu_CentralTrackingPV_PV_10,2021,0.0,.
Oahu_CentralTrackingPV_PV_10,2022,0.0,.
Oahu_CentralTrackingPV_PV_10,2023,0.0,.
Oahu_CentralTrackingPV_PV_10,2024,0.0,.
Oahu_CentralTrackingPV_PV_10,2025,0.0,.
Oahu_CentralTrackingPV_PV_10,2026,0.0,.
Oahu_CentralTrackingPV_PV_10,2027,0.0,.
Oahu_CentralTrackingPV_PV_10,2028,0.0,.
